GyroY,MagZ,AngY,MagX,MagY,AngX,AngZ,AccX,AccY,AccZ,Timestamp,GyroZ,GyroX,Tag
-17.02881,0.975,-3.66394,15.51667,7.3,75.22888,116.4441,0.05908203,1.1479489999999999,-0.017089840000000002,41952,3.78418,27.52686,1
-22.2168,-0.8333332999999999,-3.977051,14.65,0.4,77.89856,119.317,-0.030273440000000002,0.8134766999999999,0.1298828,42882,0.0,-14.09912,1
17.27295,78.475,-3.867188,12.18333,-95.825,77.8656,119.9487,-0.09960938,0.7534179999999999,0.19384769999999998,43812,-31.73828,-12.146,1
-7.019043,0.48333329999999997,-4.42749,19.24167,3.9333329999999997,78.35449,124.8706,-0.1459961,1.7783200000000001,0.574707,44762,28.32031,2.990723,1
7.69043,78.48333,-3.878174,11.23333,-94.04166,78.22815,123.2227,0.2197266,1.035156,0.05566406,45742,-16.47949,-5.493164,1
-24.16992,0.325,-4.059448,15.45833,0.5666667,78.20068,111.3904,0.1962891,0.7612304999999999,0.203125,46712,9.94873,-18.55469,1
11.77979,1.508333,-5.213013,15.825,1.158333,78.00293,117.757,0.159668,0.7675780999999999,0.2124023,47812,23.31543,-9.338379,1
-16.41846,-2.075,-2.263184,12.94167,3.525,79.04663,118.2294,-0.030273440000000002,1.197754,0.21875000000000003,48832,7.995605,1.220703,1
-9.643555,0.4333333,-4.262695,18.16667,5.691667,76.23962,109.3085,0.05566406,1.445313,0.3676758,49822,-1.525879,15.99121,1
-27.34375,1.258333,-7.245483,27.79167,5.966667,79.21692,91.98303,-0.05615234,1.079102,0.004882813000000001,50842,2.746582,8.605957,1
-20.87402,0.4666667,-3.817749,15.83333,0.5333333,78.99719,100.6897,-0.06103516,0.9257812999999999,0.06640625,51852,-8.178711,-4.150391,1
10.86426,-1.0,-5.460205,13.90833,2.75,78.41492,112.8955,0.21337889999999998,1.083984,0.20166019999999998,52882,-9.643555,-2.624512,1
-38.75732,79.60833,-4.9823,16.56667,-93.95,79.92554,113.8019,-0.0234375,0.9604492,0.2280273,53902,-26.42822,-3.234863,1
-6.530762,78.15,-4.899902,16.23333,-94.86667,78.09631,113.8129,0.1474609,0.9550780999999999,0.3383789,54992,16.8457,-5.310059,1
-7.751465,-0.7916667,-4.020996,15.05833,7.008333,77.33826,113.2141,0.1411133,1.138672,0.05761719,56062,-8.178711,17.7002,1
-4.150391,79.925,-4.290161,21.26667,-93.975,77.50305,106.7542,0.08251953000000001,0.9741211,-0.05810547,57142,-21.42334,23.01025,1
1.403809,78.325,-3.977051,18.95833,-93.86667,76.71753,111.7474,0.02392578,1.035156,-0.08789063,58232,-6.774902,16.54053,1
10.98633,2.591667,-4.641724,26.21667,10.05833,75.19043,101.0632,0.137207,1.099121,0.08349608,59352,3.173828,11.16943,1
