Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,AngX,AngY,AngZ,MagX,MagY,MagZ,Tag
491679,0.1015625,-0.9311522999999999,-0.3286133,3.4790039999999998,17.45605,5.371094,-107.666,-2.114868,-73.07556,-13.56667,-4.45,1.6,1
491989,-0.01171875,-1.184082,-0.1132813,-13.91602,19.47021,-5.859375,-109.9237,-0.13732909999999998,-79.65088,-16.94167,-3.116667,1.35,1
492319,-0.03320313,-0.8139647999999999,-0.2832031,8.178711,53.4668,15.86914,-110.2863,1.032715,-92.74109,-12.36667,-6.375,0.2,1
492549,-0.3500977,-1.11084,-0.1264648,-22.09473,42.84668,-6.04248,-112.121,-2.845459,-102.6782,-19.39167,-2.233333,0.31666669999999997,1
492739,0.1962891,-0.9526367,-0.17871089999999998,2.868652,65.00244,-16.60156,-110.896,-5.476685,-109.2151,-14.98333,-4.991667,-0.7833333,1
492949,0.10839839999999999,-0.8066405999999999,-0.3505859,-0.24414059999999999,40.64941,5.065918,-109.9512,-10.59082,-119.9597,-16.44167,-6.525,-0.8333332999999999,1
493169,0.06152344,-1.021484,-0.04785156,13.30566,45.95947,33.75244,-105.0403,-6.981812,-132.3193,48.25,-5.875,86.475,1
493399,0.05517578,-0.7324219,-0.052734380000000004,-17.39502,4.821777,32.77588,-106.6333,-0.9448242,-134.1266,-15.08333,-3.683333,-0.5583332999999999,1
493649,-0.1044922,-0.8876953,-0.40332029999999996,10.86426,17.94434,-0.1831055,-108.0396,2.230225,-137.5818,-26.15833,-2.783333,-1.025,1
493869,0.2460938,-0.8530272999999999,-0.10058589999999999,0.9155272999999999,42.05322,-14.77051,-105.304,-3.438721,-139.5593,46.66667,-7.491667,89.94167,1
494109,0.2436523,-0.9223633,-0.2080078,-3.601074,15.19775,-9.460449,-106.1005,-8.267212,-144.613,-14.825,-5.683333,0.7833333,1
494399,-0.009765625,-1.067383,0.03125,-0.4882813,23.13232,25.45166,-104.6338,-5.559082,-148.2111,41.66667,-7.425,91.40833,1
494679,-0.2578125,-0.8315429999999999,-0.2558594,-25.63477,2.13623,20.62988,-110.1874,2.796021,-148.8757,47.28333,-12.78333,95.18333,1
494969,-0.137207,-1.035156,-0.4858398,13.06152,-1.098633,-7.93457,-111.5991,3.026733,-149.0955,-24.6,-6.9,0.7416667,1
495200,0.04443359,-0.8334961,-0.1362305,-5.065918,26.7334,-29.41895,-106.886,-2.329102,-147.3926,41.75834,-9.291667,93.675,1
495489,0.1635742,-0.8242187999999999,-0.32568359999999996,7.995605,0.793457,11.71875,-108.0396,-7.119141,-146.4423,39.73333,-8.675,93.0,1
495800,-0.31005859999999996,-0.8510742,-0.1376953,-11.84082,-20.1416,19.34814,-104.4415,-2.867432,-149.2493,43.53333,-8.2,91.525,1
496099,-0.06542969,-0.8330078,-0.32568359999999996,-3.90625,5.67627,6.225586,-110.3412,4.21875,-148.1891,-17.8,-7.508333,0.3916667,1
